DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1p22.3	1	86444581	CLCA2	CLCA2			ENSG00000137975			rs2249296-C	rs2249296	0	2249296	intron_variant	0	0.78	1E-6	6.0	(Ileal involvement)	1.69	[1.35-2.13]	Illumina [539846]	N	ileocolitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0005624, http://www.ebi.ac.uk/efo/EFO_0000384	GCST002729	Genome-wide genotyping array
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	3q13.2	3	111762099	PHLDB2	PLCXD2, PHLDB2			ENSG00000240891, ENSG00000144824			rs9868898-G	rs9868898	0	9868898	intron_variant	0	0.16	2E-6	5.698970004336019	(Perianal disease)	1.49	[1.26-1.76]	Illumina [539846]	N	perianal Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0005627	GCST002729	Genome-wide genotyping array
2015-09-19	25557950	Alonso A	2014-12-31	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/25557950	Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.	Crohn's disease-related phenotypes	up to 1,090 Southern European ancestry Crohn's disease cases	up to 1,296 Southern European ancestry Crohn's disease cases	1q23.2	1	159916632	TAGLN2	AL590560.4 - TAGLN2	ENSG00000279430	ENSG00000158710		6078	1475	rs12122337-G	rs12122337	0	12122337	TF_binding_site_variant	1	0.06	1E-6	6.0	(CDC Perianal)	2.2	[1.56-3.07]	Illumina [539846]	N	perianal Crohn's disease, complicated disease course	http://www.ebi.ac.uk/efo/EFO_0005627, http://www.ebi.ac.uk/efo/EFO_0006820	GCST002729	Genome-wide genotyping array
2012-03-10	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Crohn's disease	16,179 European ancestry individuals	NA	1p31.3	1	67240275	IL23R	IL23R			ENSG00000162594			rs11209026-?	rs11209026	0	11209026	missense_variant	0	NR	4E-21	20.397940008672037		3.18	[2.91-3.44]	NR [6233112] (imputed)	N	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	GCST001396	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA				NR							chr2:151914525-T	chr2:151914525	0			1	0.0589587	9E-6	5.045757490560675				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA	14q24.3	14	74415130	NR	SYNDIG1L			ENSG00000183379			rs10144920-A	rs10144920	0	10144920	intron_variant	0	0.0245171	7E-6	5.154901959985743				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA	9p23	9	9065941	NR	PTPRD			ENSG00000153707			rs10977466-G	rs10977466	0	10977466	intron_variant	0	0.224215	9E-6	5.045757490560675				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA	5q21.1	5	101171505	NR	ST8SIA4 - RN7SL802P	ENSG00000113532	ENSG00000277506		268223	410325	rs11950172-C	rs11950172	0	11950172	intergenic_variant	1	0.396837	3E-6	5.522878745280337				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA	15q26.2	15	96933041	NR	RN7SKP181 - LINC02253	ENSG00000223120	ENSG00000259485		90657	282771	rs12442493-C	rs12442493	0	12442493	intergenic_variant	1	0.304455	5E-6	5.301029995663981				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
2019-04-03	30801121	O'Donnell S	2019-02-25	Inflamm Bowel Dis	www.ncbi.nlm.nih.gov/pubmed/30801121	The Unsolved Link of Genetic Markers and Crohn's Disease Progression: A North American Cohort Experience.	Crohn's disease (time to progression)	662 European ancestry individuals	NA	19q13.32	19	44789032	NR	CBLC			ENSG00000142273			rs2965118-G	rs2965118	0	2965118	intron_variant	0	0.109351	9E-6	5.045757490560675				Illumina [5378266] (imputed)	N	disease progression measurement, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0008336, http://www.ebi.ac.uk/efo/EFO_0000384	GCST007497	Genome-wide genotyping array
