DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	11p15.5	11	2027258	SYT8, TNNI2, LSP1, H19, ASCL2, IGF2, INS, MRPL23, TH, IGF2AS, TNNT3	H19 - IGF2	ENSG00000130600	ENSG00000167244		25788	101854	rs4930144-A	rs4930144	0	4930144	intergenic_variant	1		7E-6	5.154901959985743				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	1q32.1	1	202500595	UBE2T, PPP1R12B, SYT2	PPP1R12B			ENSG00000077157			rs12734338-C	rs12734338	0	12734338	intron_variant	0		3E-7	6.522878745280337				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	4q23	4	99618739	RG9MTD2, C4orf17, MTTP	AC083902.1, MTTP			ENSG00000248676, ENSG00000138823			rs1032355-C	rs1032355	0	1032355	intron_variant	0		5E-6	5.301029995663981				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	3p22.3	3	36368109	STAC	RFC3P1 - STAC	ENSG00000236158	ENSG00000144681		197661	12235	rs2605393-G	rs2605393	0	2605393	intergenic_variant	1		6E-6	5.221848749616356				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	4p16.2	4	5160662	STK32B	STK32B			ENSG00000152953			rs13128441-C	rs13128441	0	13128441	intron_variant	0		8E-6	5.096910013008056				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	17q22	17	56533930	ANKFN1, NOG	ANKFN1 - RPL39P33	ENSG00000153930	ENSG00000243058		22271	39110	rs17760268-C	rs17760268	0	17760268	intergenic_variant	1		4E-6	5.3979400086720375				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	21p11.2	21	10540506	BAGE2, TPTE, BAGE	AF254983.1, TPTE			ENSG00000273840, ENSG00000274391			rs10439884-A	rs10439884	0	10439884	intron_variant	0		2E-6	5.698970004336019				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	22q11.1	22	15473564	CCT8L2, psiTPTE22	BNIP3P2 - YME1L1P1	ENSG00000236097	ENSG00000236831		123521	16426	rs4911642-C	rs4911642	0	4911642	intergenic_variant	1		5E-6	5.301029995663981				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	20q13.2	20	54798000	DOK5	DOK5 - RNU4ATAC7P	ENSG00000101134	ENSG00000252089		146831	61688	rs157640-G	rs157640	0	157640	intergenic_variant	1		5E-6	5.301029995663981				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
2014-03-20	23936387	Ostensson M	2013-08-02	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23936387	A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.	Celiac disease	206 European ancestry trios	NA	14q13.1	14	34375170	EAPP, SNX6, C14orf147	EGLN3			ENSG00000129521			rs1958589-C	rs1958589	0	1958589	intron_variant	0		4E-6	5.3979400086720375				Illumina [944512] (imputed)	N	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST002112	Genome-wide genotyping array
